t (ms),Ina (pA)
5.1,0.040614451
5.11,0.040404866
5.12,0.040197162
5.13,0.039991323
5.14,0.03978733
5.15,0.039585169
5.16,0.039384821
5.17,0.039186272
5.18,0.038989504
5.19,0.038794502
5.2,0.038601251
5.21,0.038409733
5.22,0.038219935
5.23,0.03803184
5.24,0.037845432
5.25,0.037660698
5.26,0.037477622
5.27,0.037296188
5.28,0.037116383
5.29,0.036938192
5.3,0.036761599
5.31,0.036586592
5.32,0.036413155
5.33,0.036241274
5.34,0.036070937
5.35,0.035902127
5.36,0.035734833
5.37,0.03556904
5.38,0.035404735
5.39,0.035241905
5.4,0.035080536
5.41,0.034920615
5.42,0.034762129
5.43,0.034605066
5.44,0.034449412
5.45,0.034295155
5.46,0.034142282
5.47,0.033990782
5.48,0.033840641
5.49,0.033691847
5.5,0.033544389
5.51,0.033398254
5.52,0.03325343
5.53,0.033109907
5.54,0.032967671
5.55,0.032826712
5.56,0.032687018
5.57,0.032548577
5.58,0.032411379
5.59,0.032275412
5.6,0.032140666
5.61,0.032007129
5.62,0.03187479
5.63,0.031743639
5.64,0.031613664
5.65,0.031484857
5.66,0.031357205
5.67,0.031230699
5.68,0.031105328
5.69,0.030981082
5.7,0.030857952
5.71,0.030735926
5.72,0.030614995
5.73,0.03049515
5.74,0.03037638
5.75,0.030258677
5.76,0.030142029
5.77,0.030026428
5.78,0.029911865
5.79,0.02979833
5.8,0.029685814
5.81,0.029574308
5.82,0.029463802
5.83,0.029354288
5.84,0.029245757
5.85,0.0291382
5.86,0.029031608
5.87,0.028925973
5.88,0.028821285
5.89,0.028717538
5.9,0.028614721
5.91,0.028512827
5.92,0.028411848
5.93,0.028311774
5.94,0.028212599
5.95,0.028114314
5.96,0.028016911
5.97,0.027920382
5.98,0.027824719
5.99,0.027729915
6,0.027635962
6.01,0.027542852
6.02,0.027450577
6.03,0.027359131
6.04,0.027268505
6.05,0.027178693
6.06,0.027089686
6.07,0.027001479
6.08,0.026914063
6.09,0.026827431
6.1,0.026741577
6.11,0.026656494
6.12,0.026572174
6.13,0.026488611
6.14,0.026405797
6.15,0.026323727
6.16,0.026242394
6.17,0.02616179
6.18,0.02608191
6.19,0.026002746
6.2,0.025924293
6.21,0.025846544
6.22,0.025769493
6.23,0.025693134
6.24,0.025617459
6.25,0.025542464
6.26,0.025468142
6.27,0.025394487
6.28,0.025321493
6.29,0.025249154
6.3,0.025177464
6.31,0.025106417
6.32,0.025036008
6.33,0.024966231
6.34,0.02489708
6.35,0.02482855
6.36,0.024760635
6.37,0.024693329
6.38,0.024626628
6.39,0.024560525
6.4,0.024495015
6.41,0.024430093
6.42,0.024365754
6.43,0.024301992
6.44,0.024238802
6.45,0.024176179
6.46,0.024114119
6.47,0.024052615
6.48,0.023991664
6.49,0.023931259
6.5,0.023871397
6.51,0.023812071
6.52,0.023753278
6.53,0.023695013
6.54,0.023637271
6.55,0.023580047
6.56,0.023523336
6.57,0.023467134
6.58,0.023411437
6.59,0.02335624
6.6,0.023301538
6.61,0.023247326
6.62,0.023193602
6.63,0.023140359
6.64,0.023087595
6.65,0.023035304
6.66,0.022983482
6.67,0.022932125
6.68,0.022881229
6.69,0.02283079
6.7,0.022780804
6.71,0.022731266
6.72,0.022682172
6.73,0.02263352
6.74,0.022585304
6.75,0.02253752
6.76,0.022490166
6.77,0.022443236
6.78,0.022396728
6.79,0.022350637
6.8,0.02230496
6.81,0.022259692
6.82,0.022214831
6.83,0.022170372
6.84,0.022126313
6.85,0.022082649
6.86,0.022039376
6.87,0.021996492
6.88,0.021953993
